Date,Nifty,PE,Gold
2009-05-15,3671.649902,16.25,1470.0
2009-05-18,4323.149902,19.73,1474.98999
2009-05-19,4318.450195,18.92,1401.0
2009-05-20,4270.299805,19.11,1404.0
2009-05-21,4210.899902,18.98,1418.050049
2009-05-22,4238.5,19.06,1426.0
2009-05-25,4237.549805,19.37,1432.0
2009-05-26,4116.700195,18.82,1421.0
2009-05-27,4276.049805,19.53,1436.0
2009-05-28,4337.100098,19.82,1437.0
2009-05-29,4448.950195,19.73,1442.0
2009-06-01,4529.899902,19.8,1475.0
2009-06-02,4525.25,19.33,1460.0
2009-06-03,4530.700195,19.41,1474.0
2009-06-04,4572.649902,19.7,1466.0
2009-06-05,4586.899902,19.72,1475.0
2009-06-08,4429.899902,18.95,1446.900024
2009-06-09,4550.950195,19.47,1447.5
2009-06-10,4655.25,19.85,1449.949951
2009-06-11,4637.700195,19.73,1451.0
2009-06-12,4583.399902,19.5,1447.75
2009-06-15,4484.0,19.15,1431.0
2009-06-16,4517.799805,19.38,1437.25
2009-06-17,4356.149902,18.41,1437.25
2009-06-18,4251.399902,17.92,1441.060059
2009-06-19,4313.600098,18.16,1440.0
2009-06-22,4235.25,17.92,1439.0
2009-06-23,4247.0,17.98,1435.98999
2009-06-24,4292.950195,18.24,1437.0
2009-06-25,4241.850098,18.13,1459.949951
2009-06-26,4375.5,18.54,1460.0
2009-06-29,4390.950195,18.8,1451.0
2009-06-30,4291.100098,18.45,1444.0
2009-07-01,4340.899902,18.64,1435.0
2009-07-02,4348.850098,18.76,1430.0
2009-07-03,4424.25,18.98,1435.0
2009-07-06,4165.700195,17.95,1436.0
2009-07-07,4202.149902,17.99,1441.0
2009-07-08,4078.899902,17.52,1450.0
2009-07-09,4080.949951,17.58,1444.900024
2009-07-10,4003.899902,17.23,1435.0
2009-07-13,3974.050049,16.99,1438.5
2009-07-14,4111.399902,17.59,1448.300049
2009-07-15,4233.5,18.2,1453.069946
2009-07-16,4231.399902,18.14,1467.97998
2009-07-17,4374.950195,18.63,1471.98999
2009-07-20,4502.25,19.06,1475.0
2009-07-21,4469.100098,18.87,1470.0
2009-07-22,4398.899902,18.57,1470.0
2009-07-23,4523.75,18.92,1472.099976
2009-07-24,4568.549805,19.3,1475.0
2009-07-27,4572.299805,19.29,1490.5
2009-07-28,4564.100098,19.17,1483.0
2009-07-29,4513.5,18.97,1464.75
2009-07-30,4571.450195,18.75,1451.0
2009-07-31,4636.450195,19.0,1457.0
2009-08-03,4711.399902,19.42,1473.849976
2009-08-04,4680.5,19.35,1468.0
2009-08-05,4694.149902,19.46,1472.0
2009-08-06,4585.5,19.03,1472.0
2009-08-07,4481.399902,18.64,1480.0
2009-08-10,4437.649902,18.44,1463.0
2009-08-11,4471.350098,18.56,1463.0
2009-08-12,4457.5,18.52,1469.98999
2009-08-13,4605.0,19.12,1475.5
2009-08-14,4580.049805,19.08,1479.0
2009-08-17,4387.899902,18.36,1469.0
2009-08-18,4458.899902,18.67,1469.0
2009-08-19,4394.100098,18.37,1469.0
2009-08-20,4453.450195,18.58,1469.0
2009-08-21,4528.799805,18.83,1469.0
2009-08-24,4642.799805,19.23,1490.0
2009-08-25,4659.350098,19.3,1482.0
2009-08-26,4680.850098,19.43,1493.98999
2009-08-27,4688.200195,19.49,1487.97998
2009-08-28,4732.350098,19.69,1495.0
2009-08-31,4662.100098,19.56,1500.0
2009-09-01,4625.350098,19.38,1494.0
2009-09-02,4608.350098,19.3,1505.300049
2009-09-03,4593.549805,19.28,1541.0
2009-09-04,4680.399902,19.55,1552.0
2009-09-07,4782.899902,20.0,1562.0
2009-09-08,4805.25,20.03,1565.0
2009-09-09,4814.25,20.01,1558.0
2009-09-10,4819.399902,19.99,1545.680054
2009-09-11,4829.549805,19.95,1562.400024
2009-09-14,4808.600098,19.94,1559.0
2009-09-15,4892.100098,20.27,1560.949951
2009-09-16,4958.399902,20.51,1584.869995
2009-09-17,4965.549805,20.53,1580.0
2009-09-18,4976.049805,20.64,1569.050049
2009-09-22,5020.200195,20.77,1568.900024
2009-09-23,4969.950195,20.56,1571.0
2009-09-24,4986.549805,20.62,1568.699951
2009-09-25,4958.950195,20.63,1545.890015
2009-09-29,5006.850098,20.78,1537.0
2009-09-30,5083.950195,21.02,1544.890015
2009-10-01,5083.399902,21.02,1548.0
2009-10-05,5003.200195,20.65,1537.0
2009-10-06,5027.399902,20.68,1548.98999
2009-10-07,4985.75,20.65,1578.849976
2009-10-08,5002.25,20.75,1575.579956
2009-10-09,4945.200195,20.59,1560.0
2009-10-12,5054.25,20.94,1575.0
2009-10-14,5118.200195,21.2,1579.0
2009-10-15,5108.850098,21.23,1559.0
2009-10-16,5142.149902,21.32,1562.0
2009-10-20,5114.450195,21.31,1579.0
2009-10-21,5063.600098,21.11,1572.0
2009-10-22,4988.600098,20.84,1577.949951
2009-10-23,4997.049805,20.71,1581.0
2009-10-26,4970.899902,20.37,1579.5
2009-10-27,4846.700195,19.84,1567.01001
2009-10-28,4826.149902,19.78,1574.0
2009-10-29,4750.549805,19.45,1572.0
2009-10-30,4711.700195,18.19,1569.0
2009-11-03,4563.899902,17.6,1591.0
2009-11-04,4710.799805,18.12,1624.550049
2009-11-05,4765.549805,18.42,1647.0
2009-11-06,4796.149902,18.88,1639.5
2009-11-09,4898.399902,19.25,1652.0
2009-11-10,4881.700195,19.29,1646.5
2009-11-11,5003.950195,19.82,1655.0
2009-11-12,4952.649902,19.59,1671.0
2009-11-13,4998.950195,19.74,1651.75
2009-11-16,5058.049805,19.97,1675.0
2009-11-17,5062.25,19.96,1681.0
2009-11-18,5054.700195,19.98,1705.0
2009-11-19,4989.0,19.71,1696.0
2009-11-20,5052.450195,19.89,1710.0
2009-11-23,5103.549805,20.05,1741.0
2009-11-24,5090.549805,20.05,1747.0
2009-11-25,5108.149902,20.08,1751.9899899999998
2009-11-26,5005.549805,19.77,1772.9000239999998
2009-11-27,4941.75,19.52,1749.0
2009-11-30,5032.700195,19.88,1740.0
2009-12-01,5122.0,20.23,1774.0
2009-12-02,5123.25,20.26,1801.5
